branch,category,avg_rating
WALM001,"Electronic accessories",7.45
WALM002,"Food and beverages",8.25
WALM003,"Sports and travel",7.5
WALM004,"Food and beverages",9.3
WALM005,"Health and beauty",8.366666666666667
WALM006,"Fashion accessories",6.797058823529412
WALM007,"Food and beverages",7.55
WALM008,"Food and beverages",7.4
WALM009,"Sports and travel",9.6
WALM010,"Electronic accessories",9
WALM011,"Food and beverages",7
WALM012,"Health and beauty",7.45
WALM013,"Health and beauty",7.6
WALM014,"Electronic accessories",6.833333333333333
WALM015,"Home and lifestyle",6.223076923076923
WALM016,"Sports and travel",9.1
WALM017,"Electronic accessories",7
WALM018,"Electronic accessories",8.75
WALM019,"Electronic accessories",8.4
WALM020,"Food and beverages",8.333333333333334
WALM021,"Sports and travel",7.2
WALM022,"Health and beauty",8.8
WALM023,"Health and beauty",8
WALM024,"Electronic accessories",8.7
WALM025,"Food and beverages",8.4
WALM026,"Health and beauty",6.85
WALM027,"Health and beauty",9.7
WALM028,"Food and beverages",8
WALM029,"Food and beverages",8.9
WALM030,"Sports and travel",8.6
WALM031,"Electronic accessories",7.566666666666666
WALM032,"Fashion accessories",5.541095890410959
WALM033,"Home and lifestyle",6.661904761904762
WALM034,"Health and beauty",10
WALM035,"Sports and travel",9.3
WALM036,"Fashion accessories",6.589743589743589
WALM037,"Sports and travel",9.35
WALM038,"Sports and travel",8.5
WALM039,"Food and beverages",9.025
WALM040,"Health and beauty",8.6
WALM041,"Food and beverages",8
WALM042,"Sports and travel",7.25
WALM043,"Sports and travel",6.45
WALM044,"Health and beauty",9.2
WALM045,"Food and beverages",9.3
WALM046,"Food and beverages",7.3
WALM047,"Health and beauty",7.95
WALM048,"Electronic accessories",9.6
WALM049,"Sports and travel",7.666666666666667
WALM050,"Electronic accessories",5.275
WALM051,"Sports and travel",8.899999999999999
WALM052,"Electronic accessories",7.75
WALM053,"Sports and travel",8
WALM054,"Health and beauty",5.6
WALM055,"Food and beverages",7.5
WALM056,"Electronic accessories",5.966666666666667
WALM057,"Food and beverages",6.766666666666667
WALM058,"Health and beauty",6.300000000000001
WALM059,"Electronic accessories",7.9
WALM060,"Health and beauty",9.9
WALM061,"Food and beverages",8.466666666666667
WALM062,"Sports and travel",7.3
WALM063,"Electronic accessories",8.325
WALM064,"Health and beauty",8.15
WALM065,"Health and beauty",6.533333333333334
WALM066,"Sports and travel",7.2
WALM066,"Health and beauty",7.2
WALM067,"Sports and travel",9.7
WALM068,"Electronic accessories",9.7
WALM069,"Sports and travel",7.76
WALM070,"Food and beverages",9.1
WALM071,"Food and beverages",8.6
WALM072,"Sports and travel",8.1
WALM073,"Food and beverages",9.6
WALM074,"Food and beverages",8.733333333333333
WALM075,"Sports and travel",7.9
WALM076,"Food and beverages",8.1
WALM077,"Sports and travel",9.6
WALM078,"Food and beverages",9
WALM079,"Sports and travel",7.166666666666667
WALM080,"Electronic accessories",7.2
WALM081,"Food and beverages",9.1
WALM082,"Health and beauty",9.2
WALM083,"Electronic accessories",6.566666666666666
WALM084,"Sports and travel",5.466666666666666
WALM085,"Food and beverages",8.4
WALM086,"Health and beauty",9.9
WALM087,"Health and beauty",7.2
WALM088,"Sports and travel",7.666666666666667
WALM089,"Sports and travel",8.9
WALM090,"Sports and travel",8.133333333333333
WALM091,"Electronic accessories",6.25
WALM092,"Health and beauty",7.2
WALM093,"Food and beverages",7.7
WALM094,"Health and beauty",7.949999999999999
WALM095,"Health and beauty",7.725
WALM096,"Sports and travel",9.6
WALM097,"Food and beverages",7.675
WALM098,"Health and beauty",9.8
WALM099,"Electronic accessories",5.95
WALM100,"Health and beauty",6.900000000000001
