branch,weekday,trns_cnt,rnk
WALM001,Thursday,16,1
WALM002,Thursday,15,1
WALM003,Tuesday,33,1
WALM004,Sunday,14,1
WALM005,Wednesday,19,1
WALM006,Thursday,15,1
WALM007,Friday,12,1
WALM007,Sunday,12,1
WALM008,Tuesday,17,1
WALM009,Sunday,42,1
WALM010,Wednesday,12,1
WALM011,Tuesday,18,1
WALM012,Sunday,20,1
WALM013,Monday,13,1
WALM014,Sunday,12,1
WALM015,Friday,15,1
WALM016,Tuesday,16,1
WALM017,Thursday,17,1
WALM018,Sunday,12,1
WALM019,Thursday,13,1
WALM020,Tuesday,16,1
WALM021,Thursday,12,1
WALM022,Friday,15,1
WALM023,Tuesday,17,1
WALM024,Sunday,14,1
WALM025,Saturday,26,1
WALM025,Thursday,26,1
WALM025,Tuesday,26,1
WALM026,Sunday,17,1
WALM027,Thursday,14,1
WALM028,Saturday,18,1
WALM029,Thursday,36,1
WALM030,Wednesday,40,1
WALM031,Sunday,13,1
WALM032,Tuesday,30,1
WALM033,Saturday,10,1
WALM033,Thursday,10,1
WALM034,Wednesday,12,1
WALM035,Saturday,32,1
WALM036,Thursday,16,1
WALM037,Tuesday,13,1
WALM038,Sunday,37,1
WALM039,Wednesday,15,1
WALM040,Saturday,13,1
WALM041,Friday,15,1
WALM042,Wednesday,15,1
WALM043,Tuesday,18,1
WALM044,Sunday,18,1
WALM045,Wednesday,13,1
WALM046,Wednesday,35,1
WALM047,Sunday,15,1
WALM048,Monday,18,1
WALM049,Wednesday,17,1
WALM050,Sunday,32,1
WALM051,Friday,11,1
WALM051,Thursday,11,1
WALM051,Tuesday,11,1
WALM051,Monday,11,1
WALM052,Tuesday,17,1
WALM053,Thursday,17,1
WALM054,Sunday,32,1
WALM055,Wednesday,32,1
WALM056,Saturday,29,1
WALM056,Wednesday,29,1
WALM057,Wednesday,18,1
WALM058,Wednesday,45,1
WALM059,Monday,15,1
WALM060,Tuesday,14,1
WALM061,Thursday,14,1
WALM062,Tuesday,24,1
WALM063,Sunday,17,1
WALM064,Saturday,14,1
WALM065,Tuesday,30,1
WALM065,Friday,30,1
WALM066,Wednesday,15,1
WALM067,Sunday,14,1
WALM068,Monday,11,1
WALM068,Thursday,11,1
WALM069,Thursday,42,1
WALM070,Sunday,15,1
WALM071,Sunday,16,1
WALM072,Thursday,14,1
WALM073,Thursday,30,1
WALM074,Wednesday,41,1
WALM075,Friday,35,1
WALM076,Thursday,14,1
WALM077,Saturday,12,1
WALM078,Saturday,17,1
WALM079,Sunday,12,1
WALM079,Wednesday,12,1
WALM080,Monday,16,1
WALM081,Tuesday,11,1
WALM081,Saturday,11,1
WALM082,Thursday,40,1
WALM083,Monday,17,1
WALM084,Tuesday,35,1
WALM085,Thursday,14,1
WALM085,Tuesday,14,1
WALM086,Tuesday,31,1
WALM087,Saturday,35,1
WALM088,Wednesday,16,1
WALM089,Saturday,31,1
WALM089,Monday,31,1
WALM090,Wednesday,15,1
WALM091,Wednesday,17,1
WALM092,Thursday,11,1
WALM093,Wednesday,12,1
WALM094,Tuesday,17,1
WALM095,Thursday,18,1
WALM096,Tuesday,15,1
WALM097,Friday,12,1
WALM098,Monday,18,1
WALM099,Sunday,30,1
WALM100,Wednesday,14,1
