branch,payment_method,payment_method_count
WALM001,Ewallet,45
WALM002,Ewallet,37
WALM003,"Credit card",115
WALM004,Ewallet,44
WALM005,Ewallet,56
WALM006,Ewallet,50
WALM007,Ewallet,52
WALM008,Ewallet,39
WALM009,"Credit card",139
WALM010,Ewallet,47
WALM011,Ewallet,39
WALM012,Ewallet,52
WALM013,Ewallet,44
WALM014,Ewallet,28
WALM015,Ewallet,57
WALM016,Ewallet,46
WALM017,Ewallet,46
WALM018,Ewallet,46
WALM019,Ewallet,42
WALM020,Ewallet,49
WALM021,Ewallet,42
WALM022,Ewallet,46
WALM023,Ewallet,39
WALM024,Ewallet,50
WALM025,"Credit card",88
WALM026,Ewallet,45
WALM027,Ewallet,50
WALM028,Ewallet,47
WALM029,"Credit card",113
WALM030,"Credit card",120
WALM031,Ewallet,34
WALM032,"Credit card",107
WALM033,Ewallet,39
WALM034,Ewallet,37
WALM035,"Credit card",97
WALM036,Ewallet,49
WALM037,Ewallet,44
WALM038,"Credit card",111
WALM039,Ewallet,41
WALM040,Ewallet,45
WALM041,Ewallet,59
WALM042,Ewallet,36
WALM043,Ewallet,58
WALM044,Ewallet,48
WALM045,"Credit card",64
WALM046,"Credit card",117
WALM047,Ewallet,57
WALM048,Ewallet,44
WALM049,Ewallet,45
WALM050,Ewallet,108
WALM051,Ewallet,38
WALM052,Ewallet,50
WALM053,Ewallet,55
WALM054,"Credit card",106
WALM055,"Credit card",122
WALM056,"Credit card",99
WALM057,Ewallet,43
WALM058,"Credit card",145
WALM059,Ewallet,50
WALM060,Ewallet,48
WALM061,Ewallet,44
WALM062,Ewallet,53
WALM063,Ewallet,56
WALM064,Ewallet,44
WALM065,"Credit card",102
WALM066,Ewallet,42
WALM067,Ewallet,39
WALM068,Ewallet,36
WALM069,"Credit card",118
WALM070,Ewallet,42
WALM071,Ewallet,46
WALM072,Ewallet,36
WALM073,"Credit card",104
WALM074,Cash,121
WALM075,"Credit card",115
WALM076,Ewallet,51
WALM077,Ewallet,52
WALM078,Ewallet,51
WALM079,Ewallet,46
WALM080,Ewallet,51
WALM081,Ewallet,43
WALM082,Cash,105
WALM083,Ewallet,46
WALM084,"Credit card",125
WALM085,Ewallet,57
WALM086,"Credit card",112
WALM087,"Credit card",117
WALM088,Ewallet,55
WALM089,"Credit card",104
WALM090,Ewallet,48
WALM091,Ewallet,50
WALM092,Ewallet,37
WALM093,Ewallet,42
WALM094,Ewallet,47
WALM095,Ewallet,48
WALM096,Ewallet,50
WALM097,Ewallet,38
WALM098,Ewallet,44
WALM099,"Credit card",83
WALM100,Ewallet,42
