branch,shift,number_of_invoices
WALM058,AFTERNOON,113
WALM009,AFTERNOON,112
WALM030,AFTERNOON,107
WALM075,AFTERNOON,103
WALM084,AFTERNOON,99
WALM029,AFTERNOON,98
WALM038,AFTERNOON,98
WALM074,AFTERNOON,97
WALM003,AFTERNOON,95
WALM069,AFTERNOON,95
WALM087,AFTERNOON,95
WALM046,AFTERNOON,94
WALM082,AFTERNOON,94
WALM099,AFTERNOON,93
WALM055,AFTERNOON,88
WALM089,AFTERNOON,86
WALM035,AFTERNOON,85
WALM073,AFTERNOON,84
WALM086,AFTERNOON,82
WALM069,EVENING,79
WALM065,AFTERNOON,78
WALM054,AFTERNOON,78
WALM025,AFTERNOON,78
WALM056,AFTERNOON,76
WALM050,AFTERNOON,75
WALM032,AFTERNOON,75
WALM030,EVENING,74
WALM009,EVENING,74
WALM058,EVENING,72
WALM084,EVENING,58
WALM074,MORNING,58
WALM089,MORNING,56
WALM046,EVENING,56
WALM074,EVENING,55
WALM054,MORNING,55
WALM055,EVENING,54
WALM058,MORNING,54
WALM029,MORNING,52
WALM065,EVENING,51
WALM087,EVENING,51
WALM003,MORNING,50
WALM032,EVENING,50
WALM056,MORNING,49
WALM009,MORNING,49
WALM035,EVENING,48
WALM086,MORNING,48
WALM069,MORNING,48
WALM030,MORNING,48
WALM084,MORNING,48
WALM038,MORNING,47
WALM082,EVENING,47
WALM086,EVENING,47
WALM065,MORNING,47
WALM087,MORNING,46
WALM029,EVENING,46
WALM025,MORNING,45
WALM032,MORNING,45
WALM082,MORNING,45
WALM056,EVENING,44
WALM038,EVENING,44
WALM055,MORNING,44
WALM075,MORNING,43
WALM073,EVENING,43
WALM075,EVENING,42
WALM054,EVENING,42
WALM045,AFTERNOON,41
WALM003,EVENING,41
WALM019,AFTERNOON,41
WALM046,MORNING,41
WALM095,AFTERNOON,40
WALM099,MORNING,40
WALM089,EVENING,40
WALM035,MORNING,40
WALM062,AFTERNOON,39
WALM066,AFTERNOON,38
WALM028,EVENING,38
WALM050,EVENING,38
WALM050,MORNING,38
WALM088,AFTERNOON,37
WALM083,AFTERNOON,37
WALM020,AFTERNOON,37
WALM022,AFTERNOON,37
WALM060,AFTERNOON,37
WALM048,EVENING,37
WALM025,EVENING,37
WALM072,AFTERNOON,36
WALM012,EVENING,36
WALM070,AFTERNOON,36
WALM090,EVENING,36
WALM011,AFTERNOON,36
WALM016,AFTERNOON,36
WALM026,AFTERNOON,36
WALM078,AFTERNOON,36
WALM073,MORNING,36
WALM001,AFTERNOON,36
WALM023,AFTERNOON,35
WALM079,AFTERNOON,35
WALM094,AFTERNOON,35
WALM027,EVENING,35
WALM005,EVENING,35
WALM067,AFTERNOON,34
WALM063,AFTERNOON,34
WALM096,AFTERNOON,34
WALM005,AFTERNOON,34
WALM059,AFTERNOON,34
WALM052,AFTERNOON,34
WALM021,AFTERNOON,33
WALM015,AFTERNOON,33
WALM093,AFTERNOON,33
WALM017,AFTERNOON,33
WALM043,AFTERNOON,33
WALM012,AFTERNOON,33
WALM047,EVENING,33
WALM081,AFTERNOON,33
WALM007,EVENING,33
WALM010,AFTERNOON,33
WALM006,AFTERNOON,33
WALM080,AFTERNOON,33
WALM085,EVENING,33
WALM041,EVENING,32
WALM044,AFTERNOON,32
WALM098,EVENING,32
WALM024,AFTERNOON,32
WALM015,EVENING,32
WALM076,AFTERNOON,32
WALM051,AFTERNOON,32
WALM099,EVENING,32
WALM076,EVENING,31
WALM061,AFTERNOON,31
WALM071,AFTERNOON,31
WALM052,EVENING,31
WALM051,EVENING,31
WALM036,AFTERNOON,31
WALM053,AFTERNOON,31
WALM077,AFTERNOON,31
WALM092,AFTERNOON,31
WALM006,EVENING,31
WALM091,EVENING,31
WALM043,EVENING,31
WALM001,EVENING,30
WALM042,AFTERNOON,30
WALM047,AFTERNOON,30
WALM048,AFTERNOON,30
WALM091,AFTERNOON,30
WALM018,AFTERNOON,30
WALM008,EVENING,30
WALM008,AFTERNOON,29
WALM064,AFTERNOON,29
WALM049,EVENING,29
WALM034,EVENING,29
WALM057,AFTERNOON,29
WALM085,AFTERNOON,29
WALM002,AFTERNOON,29
WALM020,EVENING,29
WALM017,EVENING,29
WALM053,EVENING,28
WALM013,AFTERNOON,28
WALM037,AFTERNOON,28
WALM061,EVENING,28
WALM049,AFTERNOON,28
WALM039,AFTERNOON,28
WALM066,EVENING,28
WALM059,EVENING,28
WALM068,AFTERNOON,28
WALM040,EVENING,28
WALM022,EVENING,28
WALM095,EVENING,28
WALM090,AFTERNOON,28
WALM080,EVENING,28
WALM060,EVENING,28
WALM036,EVENING,27
WALM041,AFTERNOON,27
WALM007,AFTERNOON,27
WALM096,EVENING,27
WALM083,EVENING,27
WALM078,EVENING,27
WALM016,EVENING,27
WALM097,EVENING,27
WALM004,AFTERNOON,27
WALM057,EVENING,26
WALM088,EVENING,26
WALM037,EVENING,26
WALM010,EVENING,26
WALM097,AFTERNOON,26
WALM031,EVENING,25
WALM098,AFTERNOON,25
WALM040,AFTERNOON,25
WALM023,EVENING,25
WALM026,EVENING,24
WALM033,EVENING,24
WALM071,EVENING,24
WALM100,AFTERNOON,24
WALM039,EVENING,24
WALM027,AFTERNOON,24
WALM062,EVENING,24
WALM004,EVENING,24
WALM063,MORNING,24
WALM067,EVENING,24
WALM011,EVENING,23
WALM044,EVENING,23
WALM081,EVENING,23
WALM063,EVENING,23
WALM018,EVENING,23
WALM093,EVENING,23
WALM064,EVENING,22
WALM068,EVENING,22
WALM094,EVENING,22
WALM015,MORNING,22
WALM031,AFTERNOON,22
WALM014,EVENING,22
WALM014,AFTERNOON,21
WALM077,EVENING,21
WALM070,EVENING,21
WALM002,EVENING,21
WALM028,AFTERNOON,21
WALM019,EVENING,21
WALM021,EVENING,21
WALM042,EVENING,20
WALM033,AFTERNOON,20
WALM100,MORNING,19
WALM024,EVENING,19
WALM100,EVENING,19
WALM096,MORNING,18
WALM072,EVENING,18
WALM079,EVENING,18
WALM045,EVENING,18
WALM047,MORNING,18
WALM059,MORNING,17
WALM034,AFTERNOON,17
WALM013,EVENING,16
WALM088,MORNING,16
WALM057,MORNING,16
WALM040,MORNING,16
WALM043,MORNING,16
WALM044,MORNING,15
WALM067,MORNING,15
WALM005,MORNING,15
WALM078,MORNING,15
WALM095,MORNING,15
WALM053,MORNING,15
WALM002,MORNING,15
WALM091,MORNING,15
WALM036,MORNING,15
WALM097,MORNING,14
WALM042,MORNING,14
WALM049,MORNING,14
WALM017,MORNING,14
WALM052,MORNING,14
WALM071,MORNING,14
WALM060,MORNING,14
WALM024,MORNING,14
WALM080,MORNING,14
WALM013,MORNING,13
WALM027,MORNING,13
WALM085,MORNING,13
WALM033,MORNING,13
WALM077,MORNING,13
WALM026,MORNING,13
WALM064,MORNING,13
WALM048,MORNING,12
WALM079,MORNING,12
WALM081,MORNING,12
WALM037,MORNING,12
WALM062,MORNING,12
WALM090,MORNING,12
WALM092,EVENING,12
WALM070,MORNING,11
WALM018,MORNING,11
WALM028,MORNING,11
WALM094,MORNING,11
WALM012,MORNING,11
WALM093,MORNING,11
WALM021,MORNING,11
WALM076,MORNING,11
WALM061,MORNING,10
WALM022,MORNING,10
WALM023,MORNING,10
WALM007,MORNING,10
WALM034,MORNING,10
WALM020,MORNING,10
WALM072,MORNING,9
WALM014,MORNING,9
WALM004,MORNING,9
WALM031,MORNING,9
WALM011,MORNING,9
WALM066,MORNING,9
WALM068,MORNING,9
WALM008,MORNING,9
WALM019,MORNING,9
WALM092,MORNING,8
WALM098,MORNING,8
WALM083,MORNING,8
WALM041,MORNING,8
WALM001,MORNING,8
WALM016,MORNING,7
WALM010,MORNING,7
WALM045,MORNING,7
WALM039,MORNING,7
WALM006,MORNING,7
WALM051,MORNING,5
